id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1121033,'Knighty night' at Prinsenhof,6150298,Sarah,,Elisabethbegijnhof - Papegaai,51.05661,3.71914,Private room,90,2,81,2021-11-25,0.77,1,356,7,
1135017,RAAMHOF  top location / spacious / comfy beds,6226459,Simon,,Elisabethbegijnhof - Papegaai,51.05683,3.71639,Entire home/apt,509,2,224,2021-12-07,2.16,2,354,6,
1141163,Stylish and comfortable apartment downtown Ghent,5082339,Joost,,Binnenstad,51.04531,3.73526,Entire home/apt,154,2,137,2021-12-10,1.31,1,354,8,
1159353,Big & cosy riverside apartment,1774984,Melanie,,Stationsbuurt Noord,51.03702,3.73016,Entire home/apt,74,4,389,2020-01-31,3.79,1,1,0,
1222069,B&B Marie Reine in old Monastry,5456443,Ruth,,Watersportbaan - Ekkergem,51.05194,3.70333,Private room,70,2,353,2021-11-23,3.40,2,224,7,
1271802,"cozy bedroom, private bathroom",6922134,Tasja,,Nieuw Gent - UZ,51.03137,3.72882,Private room,48,3,42,2021-10-18,0.41,2,277,1,
1339383,"Heaven@11, your charming studio in historic Gent.",7258638,Ina Karina & Patrick,,Binnenstad,51.05824,3.72243,Entire home/apt,98,2,31,2020-07-19,0.31,3,17,0,
1368957,Private room near Gent city center,6747265,Arnoud,,Oud Gentbrugge,51.04206,3.74747,Private room,46,1,274,2021-12-12,3.50,1,85,13,
1378568,Beautiful Park View,7467550,Anne-Marie,,Sint Amandsberg,51.07289,3.75223,Private room,95,2,108,2021-11-14,1.05,1,364,3,
1418588,"Modern house w pool,near Ghent,2-8p",7640576,Stijn,,Sint Denijs Westrem,51.02235,3.66854,Entire home/apt,220,4,53,2021-08-15,0.54,1,51,2,
1425838,Cosy room in green area,6976593,Hilde,,Mariakerke,51.07391,3.69128,Private room,50,2,11,2021-12-19,0.11,2,363,4,
1482891,"Private floor with bedroom, bathroom and living",2091743,Paul,,Dampoort,51.04821,3.75034,Private room,42,2,88,2021-12-11,1.37,1,355,6,
1505180,Tasteful & bright app near the city.,8041545,Dave,,Sint Amandsberg,51.0665,3.7523,Entire home/apt,100,2,11,2019-04-08,0.26,1,82,0,
1607894,Spacious duplex (shower + kitchen),6922134,Tasja,,Stationsbuurt Noord,51.03189,3.72787,Private room,54,3,28,2020-07-31,0.28,2,272,0,
1616843,Beautiful large apartment facing the Leie,8604293,Maaike,,Elisabethbegijnhof - Papegaai,51.04787,3.71958,Entire home/apt,100,14,17,2018-01-31,0.17,2,50,0,
1627743,band resort 0.1,8651909,Gerald,,Binnenstad,51.05661,3.72775,Entire home/apt,194,5,191,2021-10-31,1.90,3,187,2,
1638170,Spacious studio in center of Ghent,879188,Dorothee,,Elisabethbegijnhof - Papegaai,51.05545,3.70902,Entire home/apt,55,3,229,2021-11-27,2.27,2,166,3,
